Country;pts_count;pts_ppm;infants;children;adolescents;male;female;data;iso_a3;year
Croatia;20;29.9;18.7;19.3;48.4;34.9;24.5;Provided extended data to the ESPN Registry;HRV;2010
Czech Republic;36;23.9;8.7;41.8;24.1;24.6;23.2;Provided extended data to the ESPN Registry;CZE;2010
Denmark;48;47.5;27.3;27;86.2;59.9;34.5;Provided extended data to the ESPN Registry;DNK;2010
Estonia;1;4.9;0;15.2;0;9.5;0;Provided extended data to the ESPN Registry;EST;2010
Finland;72;81.1;56.7;107.4;80.1;86;76;Provided extended data to the ESPN Registry;FIN;2010
France;412;34.7;14.2;34.9;55;41.4;27.6;Provided extended data to the ESPN Registry;FRA;2010
FYR of Macedonia;7;19.4;8.8;8.5;38.4;26.8;11.4;Provided extended data to the ESPN Registry;MKD;2010
Germany;125;20.5;13.7;21.4;25.4;27.5;13.1;Provided extended data to the ESPN Registry;DEU;2010
Greece;52;32;19.2;24.6;53.3;34.6;29.2;Provided data via ERA-EDTA Registry;GRC;2010
Hungary;37;25.2;8.2;22.8;44.1;27.9;22.4;Provided limited data to the ESPN Registry;HUN;2010
Iceland;2;30.1;0;47;45.8;0;61.4;Provided extended data to the ESPN Registry;ISL;2010
Italy;257;30.3;17.2;30.7;43;35.9;24.2;Provided extended data to the ESPN Registry;ITA;2010
Latvia;;;;;;;;Provided extended data to the ESPN Registry;LVA;2010
Lithuania;13;26.3;12.1;20.1;44.9;27.7;24.9;Provided extended data to the ESPN Registry;LTU;2010
Malta;4;62.4;49.3;49.4;84.7;60.8;64;Provided extended data to the ESPN Registry;MLT;2010
Montenegro;;;;;;;;Intend to contribute data in the near future;MNE;2010
Norway;36;39.1;9.8;60.4;47.6;44.6;33.4;Provided extended data to the ESPN Registry;NOR;2010
Poland;234;40.6;21.2;40.4;59.7;46.9;31.3;Provided extended data to the ESPN Registry;POL;2010
Portugal;75;46.5;27.2;43.3;68.2;58.1;34.3;Provided extended data to the ESPN Registry;PRT;2010
Republic of Serbia;33;29.9;11.5;23.5;53.6;10.2;11.4;Provided extended data to the ESPN Registry;SRB;2010
Romania;35;10.7;3.7;9.4;18.9;13.5;10.4;Provided extended data to the ESPN Registry;ROU;2010
Russia;255;12;4.5;10.2;22.7;30;29.9;Provided extended data to the ESPN Registry;RUS;2010
Slovakia;22;26.5;3.5;23.1;52.2;30.5;22.2;Provided extended data to the ESPN Registry;SVK;2010
Slovenia;18;62.3;28.7;22;138.8;94.1;28.5;Provided extended data to the ESPN Registry;SVN;2010
Spain;280;40.1;18.6;38.1;66.7;49.1;30.7;Provided extended data to the ESPN Registry;ESP;2010
Sweden;83;53.3;37.8;47.1;77.2;63.8;42.2;Provided data via ERA-EDTA Registry;SWE;2010
Switzerland;50;42.2;12.9;49.7;62.3;44.3;39.9;Provided extended data to the ESPN Registry;CHE;2010
the Netherlands;136;46.7;27.1;42.2;69.6;59.1;33.8;Provided extended data to the ESPN Registry;NLD;2010
Turkey;605;32.1;17.5;24.3;53.1;35.4;28.5;Provided limited data to the ESPN Registry;TUR;2010
Ukraine;27;4.2;0.8;1.5;10.4;3.9;4.4;Provided limited data to the ESPN Registry;UKR;2010
United Kingdom;608;55.9;27.2;53.1;89.7;65.8;45.6;Provided extended data to the ESPN Registry;GBR;2010
Bosnia and Herz.;;;;;;;;Intend to contribute data in the near future;BIH;2010
Luxemburg;;;;;;;;Provided data via ERA-EDTA Registry;LUX;2010
Albania;3;5;6;0;8.4;6.4;3.5;Provided extended data to the ESPN Registry;ALB;2011
Austria;52;42.3;35.6;24.6;65.1;57.1;26.7;Provided extended data to the ESPN Registry;AUT;2011
Belarus;32;22.5;15.2;11.3;42;17.8;27.5;Provided extended data to the ESPN Registry;BLR;2011
Belgium;86;46.1;37.3;16.4;85;48.3;43.9;Provided extended data to the ESPN Registry;BEL;2011
Bosnia and Herz.;10;16.5;6.2;18;22.3;16.1;16.8;Provided data via ERA-EDTA Registry;BIH;2011
Bulgaria;10;10.2;8.7;0;22.3;17.9;2.1;Provided extended data to the ESPN Registry;BGR;2011
Croatia;20;30.3;23.3;24.3;41.7;32.5;28;Provided extended data to the ESPN Registry;HRV;2011
Czech;44;28.7;39;8.2;37.6;28;29.5;Provided extended data to the ESPN Registry;CZE;2011
Denmark;45;44.9;27.6;24.1;81.3;62.3;26.6;Provided extended data to the ESPN Registry;DNK;2011
Estonia;2;9.7;25.7;0;0;9.4;10;Provided extended data to the ESPN Registry;EST;2011
Finland;75;84.4;79.4;54.9;118.7;88.1;80.6;Provided extended data to the ESPN Registry;FIN;2011
France;417;35;36.1;14.4;54.7;41.6;28;Provided extended data to the ESPN Registry;FRA;2011
FYR of Macedonia;8;22.4;8.7;17.5;39.4;27.2;17.4;Provided extended data to the ESPN Registry;MKD;2011
Germany;192;17.6;27.7;12.1;26.6;27.7;16.4;Provided limited data to the ESPN Registry;DEU;2011
Greece;51;31.4;26.2;22.5;46.2;33.4;27.9;Provided extended data to the ESPN Registry;GRC;2011
Hungary;42;29;27.3;14.5;45;33.6;24.1;Provided extended data to the ESPN Registry;HUN;2011
Iceland;4;60.2;42.5;47;92.5;58.9;61.5;Provided extended data to the ESPN Registry;ISL;2011
Italy;259;30.4;31;16.5;43.8;36.5;23.9;Provided extended data to the ESPN Registry;ITA;2011
Lithuania;10;22.2;13.3;14.7;36.5;21.6;22.8;Provided extended data to the ESPN Registry;LTU;2011
Moldova;4;6.9;0;5.4;14.8;6.7;7.1;Provided extended data to the ESPN Registry;MDA;2011
Malta;4;64.6;50.4;51.4;88.4;62.8;66.4;Provided extended data to the ESPN Registry;MLT;2011
Norway;41;44.4;54.9;30.1;47.9;50.8;37.8;Provided extended data to the ESPN Registry;NOR;2011
Poland;237;40.6;35.8;21;63.9;45.8;31.3;Provided extended data to the ESPN Registry;POL;2011
Portugal;76;48.5;51.9;28.6;64;56.1;40.5;Provided extended data to the ESPN Registry;PRT;2011
Romania;40;12.4;10.3;5.7;20.9;11.5;13.4;Provided data via ERA-EDTA Registry;SRB;2011
Russia;290;13.5;10.2;6.7;24.6;14.9;12;Provided extended data to the ESPN Registry;ROU;2011
Serbia;30;27.6;26.3;10.5;46.4;28.6;26.5;Provided extended data to the ESPN Registry;RUS;2011
Slovakia;23;27.6;14;3.8;63.9;32.8;22.2;Provided extended data to the ESPN Registry;SVK;2011
Slovenia;12;41;18.5;10.9;97;53.2;28.2;Provided extended data to the ESPN Registry;SVN;2011
Spain;295;41.9;38.3;20.2;69.5;49.7;33.6;Provided extended data to the ESPN Registry;ESP;2011
Sweden;81;51.4;42.5;40.1;74;65.5;36.6;Provided data via ERA-EDTA Registry;SWE;2011
Switzerland;51;42.7;40.2;13;73;47.3;37.9;Provided extended data to the ESPN Registry;CHE;2011
the Netherlands;134;46.2;42.3;26.6;68.7;56.6;35.3;Provided extended data to the ESPN Registry;NLD;2011
Turkey;302;16;10.7;7.9;28.5;17.4;14.5;Provided extended data to the ESPN Registry;TUR;2011
Ukraine;38;5.8;2.4;2;13.9;6;5.7;Provided limited data to the ESPN Registry;UKR;2011
United Kingdom;605;55.2;49.8;27.8;88.7;65.8;44.1;Provided extended data to the ESPN Registry;GBR;2011
Luxemburg;;;;;;;;Provided data via ERA-EDTA Registry;LUX;2011
Albania;5;8.8;0;5.6;17.6;13.5;3.7;Provided extended data to the ESPN Registry;ALB;2012
Austria;47;38.4;17.8;39.4;56.6;54.2;21.8;Provided extended data to the ESPN Registry;AUT;2012
Belarus;30;20.5;9.1;17.4;37.7;18.6;22.6;Provided extended data to the ESPN Registry;BLR;2012
Belgium;;;;;;;;Provided extended data to the ESPN Registry;BEL;2012
Bosnia and Herz.;10;16.5;37.3;0;17.8;16.1;16.8;Provided data via ERA-EDTA Registry;BIH;2012
Bulgaria;12;12.2;0;0;38.2;17.8;6.3;Provided extended data to the ESPN Registry;BGR;2012
Croatia;26;40.6;37.6;24.4;58.3;42.6;38.5;Provided extended data to the ESPN Registry;HRV;2012
Czech;35;22.6;1.7;43.1;26.4;28.9;15.9;Provided extended data to the ESPN Registry;CZE;2012
Denmark;53;53.3;28.1;36;93.8;70.7;35;Provided extended data to the ESPN Registry;DNK;2012
Estonia;2;9.6;0;14.3;16.5;9.3;9.9;Provided extended data to the ESPN Registry;EST;2012
Finland;75;84.3;56;91.5;106.3;90.1;78.1;Provided extended data to the ESPN Registry;FIN;2012
France;414;34.1;13.2;34.3;54.6;39.9;28;Provided extended data to the ESPN Registry;FRA;2012
FYR of Macedonia;5;14.2;0;26.5;16.2;11;17.6;Provided extended data to the ESPN Registry;MKD;2012
Germany;185;21.6;7.8;27.6;28.3;25.5;17.5;Provided limited data to the ESPN Registry;DEU;2012
Greece;57;35.1;19.9;28;57.8;39.7;30.2;Provided extended data to the ESPN Registry;GRC;2012
Hungary;43;30;10.7;31;47.5;33.9;25.8;Provided extended data to the ESPN Registry;HUN;2012
Iceland;8;120.5;85.2;92.6;187.8;118;123.1;Provided extended data to the ESPN Registry;ISL;2012
Italy;262;31.4;16.8;30.7;46.5;36.4;26.1;Provided extended data to the ESPN Registry;ITA;2012
Lithuania;9;20.4;6.7;22.2;32.2;13.3;28;Provided extended data to the ESPN Registry;LTU;2012
Moldova;4;65.1;0;51.5;138.2;63.4;66.8;Provided extended data to the ESPN Registry;MDA;2012
Malta;1;1.7;0;0;5.1;3.4;0;Provided extended data to the ESPN Registry;MLT;2012
Norway;44;47.5;19.2;56;67.7;54.9;39.9;Provided extended data to the ESPN Registry;NOR;2012
Poland;237;40.8;19.9;39.6;64.7;47.6;33.6;Provided extended data to the ESPN Registry;POL;2012
Portugal;84;53.8;20.6;57.8;78.9;67.6;39.3;Provided extended data to the ESPN Registry;PRT;2012
Romania;46;14.4;7.7;10.4;24.8;15.3;13.5;Provided data via ERA-EDTA Registry;SRB;2012
Russia;322;15;6.7;13.6;26.4;16.8;13;Provided extended data to the ESPN Registry;ROU;2012
Serbia;31;30;9;28.5;51.4;30.1;29.9;Provided extended data to the ESPN Registry;RUS;2012
Slovakia;19;22.8;3.4;15;51.1;28.1;17.3;Provided extended data to the ESPN Registry;SVK;2012
Slovenia;12;40.5;9.1;21.3;97.8;52.5;27.8;Provided extended data to the ESPN Registry;SVN;2012
Spain;279;39.4;16.7;42.6;61;46.6;31.7;Provided extended data to the ESPN Registry;ESP;2012
Sweden;90;56.3;31.6;57.7;83.7;68.2;43.7;Provided extended data to the ESPN Registry;SWE;2012
Switzerland;58;48.3;9.9;53.8;81.3;55.1;41.1;Provided extended data to the ESPN Registry;CHE;2012
the Netherlands;133;46.1;24;43.8;68.1;58.2;33.3;Provided extended data to the ESPN Registry;NLD;2012
Turkey;328;17.4;7.7;11.8;31.8;19.3;15.4;Provided extended data to the ESPN Registry;TUR;2012
Ukraine;;;;;;;;Provided limited data to the ESPN Registry;UKR;2012
United Kingdom;585;52.2;24.5;51.4;83.9;62.4;41.5;Provided extended data to the ESPN Registry;GBR;2012
Luxemburg;;;;;;;;Provided extended data to the ESPN Registry;LUX;2012
Ireland;;;;;;;;Intend to contribute data in the near future;IRL;2012
Albania;4;7.1;0;5.8;13.6;10.2;3.7;Provided extended data to the ESPN Registry;ALB;2013
Austria;44;36.1;12.6;44.6;50.1;48;23.6;Provided extended data to the ESPN Registry;AUT;2013
Belarus;32;21.5;7.1;25;35.8;23.5;19.4;Provided extended data to the ESPN Registry;BLR;2013
Belgium;;;;;;;;Provided extended data to the ESPN Registry;BEL;2013
Bosnia and Herz.;12;19.8;37.3;0;26.7;25.8;13.5;Provided data via ERA-EDTA Registry;BIH;2013
Bulgaria;13;13.1;2.9;0;37.8;15.7;10.4;Provided extended data to the ESPN Registry;BGR;2013
Croatia;27;42.7;42.5;24.2;60.7;55.4;29.3;Provided extended data to the ESPN Registry;HRV;2013
Cyprus;5;35.5;20.3;43.8;43.7;13.8;58.4;Provided extended data to the ESPN Registry;CYP;2013
Czech;35;22.3;3.5;31.7;34.9;28.6;15.7;Provided extended data to the ESPN Registry;CZE;2013
Denmark;49;50.4;16.2;48.4;83.7;62.2;37.9;Provided extended data to the ESPN Registry;DNK;2013
Estonia;2;9.6;0;0;32.9;9.4;9.9;Provided extended data to the ESPN Registry;EST;2013
Finland;76;85.1;62.6;93.7;99.7;98.6;71;Provided extended data to the ESPN Registry;FIN;2013
France;442;36.2;15.7;33.3;59.2;42.8;29.3;Provided extended data to the ESPN Registry;FRA;2013
FYR of Macedonia;6;17.2;8.6;35.5;8.3;22.1;11.8;Provided extended data to the ESPN Registry;MKD;2013
Germany;6;7.9;3.6;4.3;16.1;10;5.6;Provided extended data to the ESPN Registry;DEU;2013
Greece;179;16.8;5.3;21.3;23;20.3;13.1;Provided extended data to the ESPN Registry;GRC;2013
Hungary;49;30.5;11.3;29.7;50.5;38.9;21.7;Provided extended data to the ESPN Registry;HUN;2013
Iceland;46;32.2;10.9;28.7;56.1;36.8;27.3;Provided extended data to the ESPN Registry;ISL;2013
Italy;269;32;13.6;32.7;47.4;37;25.5;Provided extended data to the ESPN Registry;ITA;2013
Lithuania;10;23.1;13.2;22.2;33.9;22.5;23.7;Provided extended data to the ESPN Registry;LTU;2013
Moldova;;;;;;;;Provided extended data to the ESPN Registry;MDA;2013
Malta;4;65.3;0;51.2;142.7;63.6;67.1;Provided extended data to the ESPN Registry;MLT;2013
Norway;40;43.1;25.6;35.7;68.1;48.3;37.5;Provided extended data to the ESPN Registry;NOR;2013
Poland;236;41;16.9;39.6;68.9;43.7;32.5;Provided extended data to the ESPN Registry;POL;2013
Portugal;80;52.1;12.7;52.9;85;62.3;41.4;Provided extended data to the ESPN Registry;PRT;2013
Romania;30;29.2;12.1;31.8;42.7;28.4;30.1;Provided data via ERA-EDTA Registry;SRB;2013
Russia;47;15.1;9.2;11.3;24.2;16.2;13.9;Provided extended data to the ESPN Registry;ROU;2013
Serbia;336;15.6;6.4;14.5;27.9;18.5;12.6;Provided extended data to the ESPN Registry;RUS;2013
Slovakia;22;26.5;6.9;14.7;59.8;32.9;19.8;Provided extended data to the ESPN Registry;SVK;2013
Slovenia;9;30;27.1;20.6;43.7;45.4;13.8;Provided extended data to the ESPN Registry;SVN;2013
Spain;294;41.5;19.4;41.9;64.5;49.1;33.5;Provided extended data to the ESPN Registry;ESP;2013
Sweden;89;54.6;24.3;52.6;91.7;64.5;44.2;Provided data via ERA-EDTA Registry;SWE;2013
Switzerland;51;42.1;9.7;35.2;81.9;46.6;37.3;Provided extended data to the ESPN Registry;CHE;2013
the Netherlands;129;45;18.8;43.5;69.9;55.3;34.3;Provided extended data to the ESPN Registry;NLD;2013
Turkey;334;17.7;5.5;15.4;31.7;19.6;15.7;Provided extended data to the ESPN Registry;TUR;2013
Ukraine;;;;;;;;Provided limited data to the ESPN Registry;UKR;2013
United Kingdom;610;53.9;26.2;56.4;83;66;41.3;Provided extended data to the ESPN Registry;GBR;2013
Luxemburg;;;;;;;;Provided extended data to the ESPN Registry;LUX;2013
Ireland;;;;;;;;Intend to contribute data in the near future;IRL;2013
